store,address,phone,address2,_GC_TYPE,_CLEANADDR,_X,_Y
신사점,서울시 강남구 도산대로 126,02-548-2741,서울특별시 강남구 도산대로 126,정,서울특별시 강남구 도산대로 126 (논현동),127.022411,37.5169687
강남대로점,서울시 서초구 강남대로 369 1층,02-588-5778,서울특별시 서초구 강남대로 369 1층,정,서울특별시 서초구 강남대로 369 (서초동),127.0282167,37.4956614
차병원점,서울시 강남구 논현로 566 강남차병원1층,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층,정,서울특별시 강남구 논현로 566 (역삼동),127.0347741,37.50678944
역삼점,"서울시 강남구 논현로 512  지상1,2층",02-569-8051,"서울특별시 강남구 논현로 512 지상1,2층",정,서울특별시 강남구 논현로 512 (역삼동),127.0365213,37.50234991
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층,정,서울특별시 서초구 강남대로 213 (양재동),127.0349496,37.4827671
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호",정,서울특별시 강남구 압구정로 461 (청담동),127.0472328,37.52525528
영동점,서울 서초구 반포동 736-17 P빌딩 2층,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층,정,서울특별시 서초구 반포동 736-17,127.0228229,37.50685068
영동고앞점,"서울시 강남구 선릉로 749 1,2층",02-544-3794,"서울특별시 강남구 선릉로 749 1,2층",정,서울특별시 강남구 선릉로 749 (논현동),127.0394756,37.52145762
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층,정,서울특별시 강남구 삼성로 716 (청담동),127.0500321,37.5198984
도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호",02-572-2781,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호",정,서울특별시 강남구 언주로30길 10 (도곡동),127.0515544,37.487339
삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층,02-3466-8507,서울특별시 강남구 테헤란로87길 46 지하 2층,정,서울특별시 강남구 테헤란로87길 46 (삼성동),127.0582058,37.51098239
서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층,02-582-0158,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,정,서울특별시 서초구 강남대로51길 1 (서초동),127.0302627,37.49128805
논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층,02-513-3870,서울특별시 강남구 논현 231-13호 팍스타워지하1층,정,서울특별시 강남구 논현동 231-13,127.0365729,37.51004573
압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호",02-543-5922,"서울특별시 강남구 도산대로49길 13 1층 17,18호",정,서울특별시 강남구 도산대로49길 13 (신사동),127.0369605,37.52374174
삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층",02-3443-5618,"서울특별시 강남구 영동대로 607 1,2층",정,서울특별시 강남구 영동대로 607 (삼성동),127.0594895,37.51455205
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-803-9994,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,정,서울특별시 강남구 영동대로 511 (삼성동),127.0610231,37.51035653
서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호",02-3477-5580,"서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호",정,서울특별시 서초구 서초동 1685-8,127.0164656,37.49540543
삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층,02-2055-1142,서울특별시 서초구 서초대로74길 11 지하2층,정,서울특별시 서초구 서초대로74길 11 (서초동),127.0269145,37.49663327
잠실신천점,서울시 송파구 석촌호수로 118 1층,02-416-9520,서울특별시 송파구 석촌호수로 118 1층,정,서울특별시 송파구 석촌호수로 118 (잠실동),127.0900217,37.50743758
논현동수면센터점,서울시 강남구 논현로 717 1층,02-3443-5575,서울특별시 강남구 논현로 717 1층,정,서울특별시 강남구 논현로 717 (논현동),127.0295373,37.51596164
