,store,address,phone
0,차병원점,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615
1,강남대로점,서울시 서초구 강남대로 369 1층  ,02-588-5778
2,청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",02-548-6052
3,신사점,서울시 강남구 도산대로 126  ,02-548-2741
4,역삼점,"서울시 강남구 논현로 512  지상1,2층  ",02-569-8051
5,양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833
6,청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053
7,영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096
8,도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ",02-572-2781
9,영동고앞점,"서울시 강남구 선릉로 749 1,2층  ",02-544-3794
10,압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ",02-543-5922
11,압구정로데오점,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층  ,02-3445-5093
12,서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,02-582-0158
13,논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층  ,02-513-3870
14,삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층  ,02-3466-8507
15,트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,02-803-9994
16,삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층  ",02-3443-5618
17,잠실신천점,서울시 송파구 석촌호수로 118 1층  ,02-416-9520
18,서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호  ",02-3477-5580
19,논현동수면센터점,서울시 강남구 논현로 717 1층  ,02-3443-5575
20,삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층  ,02-2055-1142
21,삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  ,02-581-5562
22,방배카페골목점,서울특별시 서초구 방배중앙로 187  ,02-592-7794
23,역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  ,02-554-9962
24,테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층  ,02-538-9927
25,삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층  ,02-538-4523
26,방이점,서울시 송파구 오금로 11길 7  ,02-415-5561
27,매봉역점,서울시 강남구 논현로 38길 42 418호  ,02-529-9947
28,남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층  ,02-523-3671
29,강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층  ,02-563-3655
30,도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층  ,02-2016-5330
31,청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층  ",02-514-5622
32,광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층  ,02-3210-2326
33,경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외  ,02-730-8896
34,홍대역점,서울시 마포구 홍익로 6길 26  ,02-333-4278
35,순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층  ,02-2220-8198
36,종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층  ",02-738-5333
37,소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층  ,02-753-8004
