이달의 키워드_100건,,
순위,키워드,Score
1,하얼빈,57.565
2,시간을 파는 상점,55.262
3,사피엔스,52.959
4,호모 데우스,34.539
4,경제,34.539
4,칼의 노래,34.539
7,과학,32.189
8,줄리언,29.934
8,김훈,29.934
8,사랑,29.934
11,예감은 틀리지 않는다,27.631
12,제임스,25.328
12,반스,25.328
12,김창옥,25.328
15,흔한남매,23.026
15,만화,23.026
15,안중근,23.026
15,퀴즈,23.026
15,자음과모음,23.026
20,단계,20.923
21,연애의 기억,20.723
21,인문학,20.723
21,네트워크,20.723
21,알렌,20.723
21,흔한남매의 흔한 호기심,20.723
21,앨런,20.723
27,지구,18.421
28,청소년문학,16.118
28,정신,16.118
28,화학,16.118
31,우주,16.094
32,특별 칭찬 상장,13.816
32,수학,13.816
32,트렌드,13.816
32,김창옥 TV,13.816
32,문과 남자의 과학 공부,13.816
32,청소년문학상,13.816
32,밀례,13.816
32,하라리,13.816
32,사건,13.816
32,물리학,13.816
32,제1회,13.816
32,김창옥쇼,13.816
32,디 에포크,13.816
32,머니 트렌드 2025,13.816
32,뉴욕타임스,13.816
32,해답,13.816
32,생각하는 대로,13.816
32,청소년,13.816
32,우연은 비켜 가지 않는다,13.816
51,정보,12.876
51,자기계발,12.876
51,문장,12.876
51,인류,12.876
51,AI,12.876
51,목표,12.876
57,생각,12.477
58,외부,11.513
58,고명환,11.513
58,어린아이,11.513
58,유시민,11.513
58,양자역학,11.513
58,뇌과학,11.513
58,문과,11.513
58,사유,11.513
58,사자,11.513
58,맨부커상,11.513
58,하루,11.513
69,생물학,11.266
69,내면,11.266
71,호기심,10.836
72,인생,10.079
73,마음,9.632
73,성공,9.632
73,질문,9.632
76,1억,9.21
76,위협,9.21
76,독서,9.21
76,1912년,9.21
76,디딤돌,9.21
76,공부,9.21
76,김선영,9.21
76,몸풀기,9.21
76,매일,9.21
76,낙타,9.21
76,물집,9.21
76,멘토,9.21
76,오류,9.21
76,5천만,9.21
76,문학,9.21
76,학습,9.21
76,판매,9.21
76,혁명,9.21
76,부정적,9.21
76,전체주의,9.21
76,재테크,9.21
76,성경,9.21
76,컴퓨터,9.21
76,다산책방,9.21
76,메시지,9.21
